=== cuMES — CUDA Magnetic Equilibrium Solver ===
input: w7x
ns=99 mnmax=156 ntheta=30 nzeta=36 nZnT=1080 nfp=5 mpol=12 ntor=12 ncurr=1
  initState: vmecpp interpFromBoundaryAndAxis (m>0 s^(m/2))
  profiles: ns=99 phip=2.769296e-01 lamscale=2.769296e-01 maxToroidalFlux=2.769296e-01
knobs: max_iter=5000 delt0=1.000 dtau_floor=0.000e+00 dump_iter=150 e2_start=560

 ITER |    FSQR        FSQZ        FSQL    |   DELT
------+------------------------------------+----------
    2 |   2.204e+00   8.373e-01   1.420e-01 | 1.00e+00 | Rax=5.9718 Rbnd=5.5586
    3 |   7.354e+01   3.778e+01   1.161e-01 | 1.00e+00 | Rax=5.9445 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=3) delt=9.000e-01
    3 |   2.473e+13   3.910e+12   2.611e+04 | 9.00e-01 | Rax=5.9864 Rbnd=5.5586
    4 |   2.204e+00   8.533e-01   1.420e-01 | 9.00e-01 | Rax=5.9745 Rbnd=5.5586
    5 |   4.387e+01   2.232e+01   7.858e-02 | 9.00e-01 | Rax=5.9532 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=5) delt=8.100e-01
  -> BAD JACOBIAN (iter2=8) delt=7.290e-01
  -> BAD JACOBIAN (iter2=11) delt=6.561e-01
  -> BAD JACOBIAN (iter2=15) delt=5.905e-01
   47 |   5.431e-01   2.471e-01   5.643e-03 | 5.90e-01 | Rax=5.9815 Rbnd=5.5586
  -> BAD PROGRESS (iter2=51) delt=5.733e-01
  -> BAD PROGRESS (iter2=64) delt=5.566e-01
  -> BAD PROGRESS (iter2=78) delt=5.404e-01
  -> BAD PROGRESS (iter2=91) delt=5.246e-01
 2323 |   5.378e-12   1.047e-12   1.313e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2333 |   5.168e-12   1.042e-12   1.284e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2343 |   5.038e-12   9.985e-13   1.253e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2353 |   4.884e-12   9.744e-13   1.223e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2363 |   4.724e-12   9.637e-13   1.194e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2373 |   4.616e-12   9.250e-13   1.167e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2383 |   4.442e-12   9.182e-13   1.142e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2393 |   4.338e-12   8.768e-13   1.116e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2403 |   4.190e-12   8.605e-13   1.092e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2413 |   4.061e-12   8.474e-13   1.066e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2423 |   3.959e-12   8.195e-13   1.042e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2433 |   3.819e-12   8.183e-13   1.020e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2443 |   3.735e-12   7.857e-13   9.967e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2453 |   3.610e-12   7.803e-13   9.749e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 2463 |   3.511e-12   7.645e-13   9.510e-13 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
